geo,country,year,median_age
AD,Andorra,1986,31.0
AD,Andorra,1987,31.2
AD,Andorra,1988,31.7
AD,Andorra,1989,32.3
AD,Andorra,1990,32.9
AD,Andorra,1991,32.8
AD,Andorra,1992,32.4
AD,Andorra,1993,32.6
AD,Andorra,1994,33.5
AD,Andorra,1995,34.1
AD,Andorra,1996,34.6
AD,Andorra,1997,35.0
AD,Andorra,1998,35.5
AD,Andorra,1999,35.9
AD,Andorra,2000,36.6
AD,Andorra,2001,37.3
AD,Andorra,2002,38.0
AD,Andorra,2003,38.6
AD,Andorra,2004,38.2
AD,Andorra,2005,37.9
AD,Andorra,2006,37.7
AD,Andorra,2007,38.0
AD,Andorra,2008,38.4
AD,Andorra,2009,38.8
AD,Andorra,2010,39.5
AD,Andorra,2011,39.6
AD,Andorra,2012,39.6
AD,Andorra,2013,39.9
AD,Andorra,2019,42.6
AL,Albania,2002,27.6
AL,Albania,2003,27.9
AL,Albania,2004,28.2
AL,Albania,2005,28.7
AL,Albania,2006,29.2
AL,Albania,2007,29.8
AL,Albania,2008,30.4
AL,Albania,2009,31.1
AL,Albania,2010,31.9
AL,Albania,2011,32.6
AL,Albania,2012,33.2
AL,Albania,2013,33.7
AL,Albania,2014,34.2
AL,Albania,2015,34.7
AL,Albania,2016,35.2
AL,Albania,2017,35.6
AL,Albania,2018,36.1
AL,Albania,2019,36.7
AL,Albania,2020,37.2
AL,Albania,2021,37.6
AL,Albania,2022,38.2
AL,Albania,2023,38.8
AL,Albania,2025,44.3
AM,Armenia,2006,31.5
AM,Armenia,2007,31.8
AM,Armenia,2008,32.0
AM,Armenia,2009,32.3
AM,Armenia,2010,32.6
AM,Armenia,2015,34.0
AM,Armenia,2016,34.3
AM,Armenia,2017,34.6
AM,Armenia,2018,35.0
AM,Armenia,2019,35.4
AM,Armenia,2020,35.8
AM,Armenia,2021,36.1
AM,Armenia,2024,33.7
AT,Austria,1960,35.5
AT,Austria,1961,35.5
AT,Austria,1962,35.5
AT,Austria,1963,35.3
AT,Austria,1964,35.2
AT,Austria,1965,35.1
AT,Austria,1966,34.9
AT,Austria,1967,34.7
AT,Austria,1968,34.5
AT,Austria,1969,34.2
AT,Austria,1970,33.9
AT,Austria,1971,33.6
AT,Austria,1972,33.3
AT,Austria,1973,33.4
AT,Austria,1974,33.6
AT,Austria,1975,33.9
AT,Austria,1976,34.1
AT,Austria,1977,34.3
AT,Austria,1978,34.4
AT,Austria,1979,34.6
AT,Austria,1980,34.7
AT,Austria,1981,34.6
AT,Austria,1982,34.6
AT,Austria,1983,34.8
AT,Austria,1984,35.0
AT,Austria,1985,35.1
AT,Austria,1986,35.2
AT,Austria,1987,35.3
AT,Austria,1988,35.5
AT,Austria,1989,35.6
AT,Austria,1990,35.6
AT,Austria,1991,35.6
AT,Austria,1992,35.6
AT,Austria,1993,35.7
AT,Austria,1994,35.9
AT,Austria,1995,36.1
AT,Austria,1996,36.5
AT,Austria,1997,36.8
AT,Austria,1998,37.2
AT,Austria,1999,37.5
AT,Austria,2000,37.9
AT,Austria,2001,38.3
AT,Austria,2002,38.8
AT,Austria,2003,39.1
AT,Austria,2004,39.4
AT,Austria,2005,39.7
AT,Austria,2006,40.1
AT,Austria,2007,40.5
AT,Austria,2008,40.9
AT,Austria,2009,41.2
AT,Austria,2010,41.6
AT,Austria,2011,42.0
AT,Austria,2012,42.4
AT,Austria,2013,42.6
AT,Austria,2014,42.9
AT,Austria,2015,43.0
AT,Austria,2016,43.0
AT,Austria,2017,43.0
AT,Austria,2018,43.2
AT,Austria,2019,43.4
AT,Austria,2020,43.5
AT,Austria,2021,43.6
AT,Austria,2022,43.6
AT,Austria,2023,43.5
AT,Austria,2024,43.6
AT,Austria,2025,43.8
AZ,Azerbaijan,2006,27.9
AZ,Azerbaijan,2007,28.2
AZ,Azerbaijan,2008,28.5
AZ,Azerbaijan,2009,28.8
AZ,Azerbaijan,2010,28.8
AZ,Azerbaijan,2011,29.1
AZ,Azerbaijan,2012,29.4
AZ,Azerbaijan,2013,29.7
AZ,Azerbaijan,2014,30.1
AZ,Azerbaijan,2015,30.5
AZ,Azerbaijan,2016,30.9
AZ,Azerbaijan,2017,31.3
AZ,Azerbaijan,2018,31.8
AZ,Azerbaijan,2019,32.3
AZ,Azerbaijan,2020,32.8
AZ,Azerbaijan,2021,33.2
AZ,Azerbaijan,2022,33.8
AZ,Azerbaijan,2024,34.5
AZ,Azerbaijan,2025,35.1
BE,Belgium,1960,35.2
BE,Belgium,1961,35.2
BE,Belgium,1962,34.9
BE,Belgium,1963,34.9
BE,Belgium,1964,34.8
BE,Belgium,1965,34.7
BE,Belgium,1966,34.7
BE,Belgium,1967,34.7
BE,Belgium,1968,34.7
BE,Belgium,1969,34.6
BE,Belgium,1970,34.5
BE,Belgium,1971,34.5
BE,Belgium,1972,34.3
BE,Belgium,1973,34.3
BE,Belgium,1974,34.2
BE,Belgium,1975,34.1
BE,Belgium,1976,33.9
BE,Belgium,1977,33.8
BE,Belgium,1978,33.7
BE,Belgium,1979,33.8
BE,Belgium,1980,33.9
BE,Belgium,1981,34.1
BE,Belgium,1982,34.4
BE,Belgium,1983,34.7
BE,Belgium,1984,35.0
BE,Belgium,1985,35.2
BE,Belgium,1986,35.4
BE,Belgium,1987,35.6
BE,Belgium,1988,35.7
BE,Belgium,1989,36.0
BE,Belgium,1990,36.2
BE,Belgium,1991,36.4
BE,Belgium,1992,36.6
BE,Belgium,1993,36.8
BE,Belgium,1994,37.0
BE,Belgium,1995,37.3
BE,Belgium,1996,37.6
BE,Belgium,1997,37.9
BE,Belgium,1998,38.2
BE,Belgium,1999,38.5
BE,Belgium,2000,38.7
BE,Belgium,2001,39.0
BE,Belgium,2002,39.3
BE,Belgium,2003,39.6
BE,Belgium,2004,39.8
BE,Belgium,2005,40.1
BE,Belgium,2006,40.3
BE,Belgium,2007,40.5
BE,Belgium,2008,40.7
BE,Belgium,2009,40.8
BE,Belgium,2010,40.9
BE,Belgium,2011,40.9
BE,Belgium,2012,41.0
BE,Belgium,2013,41.1
BE,Belgium,2014,41.3
BE,Belgium,2015,41.4
BE,Belgium,2016,41.4
BE,Belgium,2017,41.5
BE,Belgium,2018,41.6
BE,Belgium,2019,41.7
BE,Belgium,2020,41.8
BE,Belgium,2021,41.8
BE,Belgium,2022,41.9
BE,Belgium,2023,41.9
BE,Belgium,2024,42.0
BE,Belgium,2025,42.1
BG,Bulgaria,1960,30.3
BG,Bulgaria,1961,30.6
BG,Bulgaria,1962,30.9
BG,Bulgaria,1963,31.1
BG,Bulgaria,1964,31.5
BG,Bulgaria,1965,31.8
BG,Bulgaria,1966,32.2
BG,Bulgaria,1967,32.5
BG,Bulgaria,1968,32.8
BG,Bulgaria,1969,33.0
BG,Bulgaria,1970,33.2
BG,Bulgaria,1971,33.3
BG,Bulgaria,1972,33.4
BG,Bulgaria,1973,33.5
BG,Bulgaria,1974,33.6
BG,Bulgaria,1975,33.6
BG,Bulgaria,1976,33.7
BG,Bulgaria,1977,33.8
BG,Bulgaria,1978,33.8
BG,Bulgaria,1979,34.0
BG,Bulgaria,1980,34.1
BG,Bulgaria,1981,34.3
BG,Bulgaria,1982,34.5
BG,Bulgaria,1983,34.7
BG,Bulgaria,1984,34.9
BG,Bulgaria,1985,35.1
BG,Bulgaria,1986,35.5
BG,Bulgaria,1987,35.7
BG,Bulgaria,1988,35.9
BG,Bulgaria,1989,36.0
BG,Bulgaria,1990,36.5
BG,Bulgaria,1991,36.8
BG,Bulgaria,1992,37.1
BG,Bulgaria,1993,37.5
BG,Bulgaria,1994,37.8
BG,Bulgaria,1995,38.0
BG,Bulgaria,1996,38.3
BG,Bulgaria,1997,38.5
BG,Bulgaria,1998,38.7
BG,Bulgaria,1999,38.9
BG,Bulgaria,2000,39.1
BG,Bulgaria,2001,39.3
BG,Bulgaria,2002,40.3
BG,Bulgaria,2003,40.6
BG,Bulgaria,2004,40.9
BG,Bulgaria,2005,41.2
BG,Bulgaria,2006,41.5
BG,Bulgaria,2007,41.7
BG,Bulgaria,2008,41.9
BG,Bulgaria,2009,42.0
BG,Bulgaria,2010,42.2
BG,Bulgaria,2011,42.5
BG,Bulgaria,2012,42.7
BG,Bulgaria,2013,43.3
BG,Bulgaria,2014,43.7
BG,Bulgaria,2015,44.2
BG,Bulgaria,2016,44.6
BG,Bulgaria,2017,45.0
BG,Bulgaria,2018,45.4
BG,Bulgaria,2019,45.8
BG,Bulgaria,2020,46.3
BG,Bulgaria,2021,46.4
BG,Bulgaria,2022,46.7
BG,Bulgaria,2023,46.8
BG,Bulgaria,2024,47.1
BG,Bulgaria,2025,47.3
BY,Belarus,2006,37.8
BY,Belarus,2007,38.0
BY,Belarus,2008,38.1
BY,Belarus,2009,38.3
BY,Belarus,2011,39.0
BY,Belarus,2012,39.1
BY,Belarus,2013,39.2
BY,Belarus,2014,39.4
BY,Belarus,2015,39.5
BY,Belarus,2016,39.6
BY,Belarus,2017,39.7
BY,Belarus,2018,39.9
BY,Belarus,2019,40.1
CH,Switzerland,1960,32.6
CH,Switzerland,1961,32.5
CH,Switzerland,1962,32.1
CH,Switzerland,1963,31.8
CH,Switzerland,1964,31.5
CH,Switzerland,1965,31.5
CH,Switzerland,1966,31.6
CH,Switzerland,1967,31.6
CH,Switzerland,1968,31.6
CH,Switzerland,1969,31.7
CH,Switzerland,1970,31.7
CH,Switzerland,1971,32.1
CH,Switzerland,1972,32.2
CH,Switzerland,1973,32.3
CH,Switzerland,1974,32.5
CH,Switzerland,1975,32.8
CH,Switzerland,1976,33.2
CH,Switzerland,1977,33.6
CH,Switzerland,1978,34.0
CH,Switzerland,1979,34.3
CH,Switzerland,1980,34.6
CH,Switzerland,1981,34.9
CH,Switzerland,1982,35.2
CH,Switzerland,1983,35.4
CH,Switzerland,1984,35.7
CH,Switzerland,1985,36.0
CH,Switzerland,1986,36.3
CH,Switzerland,1987,36.5
CH,Switzerland,1988,36.6
CH,Switzerland,1989,36.8
CH,Switzerland,1990,36.9
CH,Switzerland,1991,36.8
CH,Switzerland,1992,36.8
CH,Switzerland,1993,36.9
CH,Switzerland,1994,37.0
CH,Switzerland,1995,37.2
CH,Switzerland,1996,37.4
CH,Switzerland,1997,37.6
CH,Switzerland,1998,37.9
CH,Switzerland,1999,38.2
CH,Switzerland,2000,38.5
CH,Switzerland,2001,38.8
CH,Switzerland,2002,39.1
CH,Switzerland,2003,39.4
CH,Switzerland,2004,39.8
CH,Switzerland,2005,40.1
CH,Switzerland,2006,40.4
CH,Switzerland,2007,40.8
CH,Switzerland,2008,41.0
CH,Switzerland,2009,41.2
CH,Switzerland,2010,41.5
CH,Switzerland,2011,41.6
CH,Switzerland,2012,41.8
CH,Switzerland,2013,42.0
CH,Switzerland,2014,42.1
CH,Switzerland,2015,42.2
CH,Switzerland,2016,42.3
CH,Switzerland,2017,42.3
CH,Switzerland,2018,42.4
CH,Switzerland,2019,42.5
CH,Switzerland,2020,42.6
CH,Switzerland,2021,42.7
CH,Switzerland,2022,42.8
CH,Switzerland,2023,42.8
CH,Switzerland,2024,42.8
CH,Switzerland,2025,42.9
CY,Cyprus,1976,27.4
CY,Cyprus,1982,28.9
CY,Cyprus,1983,29.0
CY,Cyprus,1984,29.2
CY,Cyprus,1985,29.3
CY,Cyprus,1986,29.5
CY,Cyprus,1987,29.7
CY,Cyprus,1988,29.9
CY,Cyprus,1989,30.2
CY,Cyprus,1990,30.5
CY,Cyprus,1991,30.9
CY,Cyprus,1992,31.2
CY,Cyprus,1993,31.6
CY,Cyprus,1994,31.8
CY,Cyprus,1995,32.0
CY,Cyprus,1996,32.3
CY,Cyprus,1997,32.5
CY,Cyprus,1998,32.8
CY,Cyprus,1999,33.0
CY,Cyprus,2000,33.3
CY,Cyprus,2001,33.6
CY,Cyprus,2002,34.2
CY,Cyprus,2003,34.5
CY,Cyprus,2004,34.7
CY,Cyprus,2005,34.9
CY,Cyprus,2006,35.1
CY,Cyprus,2007,35.2
CY,Cyprus,2008,35.4
CY,Cyprus,2009,35.5
CY,Cyprus,2010,35.6
CY,Cyprus,2011,35.7
CY,Cyprus,2012,35.8
CY,Cyprus,2013,36.1
CY,Cyprus,2014,36.6
CY,Cyprus,2015,37.0
CY,Cyprus,2016,37.4
CY,Cyprus,2017,37.9
CY,Cyprus,2018,38.4
CY,Cyprus,2019,38.9
CY,Cyprus,2020,39.3
CY,Cyprus,2021,39.6
CY,Cyprus,2022,39.9
CY,Cyprus,2023,40.2
CY,Cyprus,2024,40.6
CY,Cyprus,2025,41.0
CZ,Czechia,1960,33.2
CZ,Czechia,1961,33.2
CZ,Czechia,1962,33.4
CZ,Czechia,1963,33.5
CZ,Czechia,1964,33.6
CZ,Czechia,1965,33.7
CZ,Czechia,1966,33.7
CZ,Czechia,1967,33.8
CZ,Czechia,1968,33.7
CZ,Czechia,1969,33.7
CZ,Czechia,1970,33.5
CZ,Czechia,1971,33.4
CZ,Czechia,1972,33.2
CZ,Czechia,1973,33.0
CZ,Czechia,1974,32.8
