e,att,se,line
-12,-4.05143846153846,2.13601659826011,-2.25576973153635
-11,-3.23850769230769,1.37873058070945,-1.93488859996333
-10,-2.50724230769231,1.35958132554641,-1.61400746839032
-9,-0.584544230769232,1.7261446353586,-1.29312633681731
-8,0.00665192307692242,1.43780197108372,-0.972245205244296
-7,1.81679038461538,1.71226903576435,-0.651364073671284
-6,0.717555769230769,1.62594616649077,-0.330482942098271
-5,1.06856730769231,1.33420530555553,-0.00960181052525821
-4,1.58545192307692,1.16876422423884,0.311279321047755
-3,0.622075,1.02161699582147,0.632160452620768
-2,0.522290384615384,0.474174954262429,0.95304158419378
-1,0,,1.27392271576679
0,0.736613461538461,0.470894806513914,1.59480384733981
1,0.576882692307692,0.350506629091838,1.91568497891282
2,1.03237307692308,0.587887199794023,2.23656611048583
3,2.18661730769231,0.73973993569631,2.55744724205884
4,2.81342115384615,0.811573877401672,2.87832837363186
5,2.20911346153846,1.13332718005844,3.19920950520487
6,3.04145128205128,1.27406900153402,3.52009063677788
7,2.33289743589744,1.41360068306517,3.8409717683509
8,2.89701025641026,1.64527302199847,4.16185289992391
9,3.51426923076923,1.93798041944163,4.48273403149692
10,4.59663076923077,2.1380457455568,4.80361516306993
11,4.93846153846154,2.36602259367432,5.12449629464295
12,4.10769230769231,2.33794965225883,5.44537742621596
