geo,iso3,country,year,suicide_sdr,gdp_real_pc,unemp,share65,medage,pop,status,adoption_year,gvar
AT,AUT,Austria,1994,24.4,,3.535,15.0,35.9,7936118,never_treated,NA,0
AT,AUT,Austria,1995,24.3,27450,4.345,15.1,36.1,7948278,never_treated,NA,0
AT,AUT,Austria,1996,24.5,28020,5.282,15.2,36.5,7959017,never_treated,NA,0
AT,AUT,Austria,1997,21.4,28590,5.15,15.3,36.8,7968041,never_treated,NA,0
AT,AUT,Austria,1998,21.2,29560,5.483,15.4,37.2,7976789,never_treated,NA,0
AT,AUT,Austria,1999,21.0,30610,4.699,15.4,37.5,7992324,never_treated,NA,0
AT,AUT,Austria,2000,21.2,31510,4.687,15.4,37.9,8011566,never_treated,NA,0
AT,AUT,Austria,2001,19.6,31800,4.007,15.4,38.3,8042293,never_treated,NA,0
AT,AUT,Austria,2002,20.4,32120,4.852,15.5,38.8,8081957,never_treated,NA,0
AT,AUT,Austria,2003,19.0,32340,4.779,15.4,39.1,8121423,never_treated,NA,0
AT,AUT,Austria,2004,18.4,32960,5.969,15.5,39.4,8171966,never_treated,NA,0
AT,AUT,Austria,2005,17.9,33500,5.682,15.9,39.7,8227829,never_treated,NA,0
AT,AUT,Austria,2006,16.2,34410,5.32,16.4,40.1,8268641,never_treated,NA,0
AT,AUT,Austria,2007,16.0,35600,4.909,16.9,40.5,8295487,never_treated,NA,0
AT,AUT,Austria,2008,15.6,36000,4.198,17.1,40.9,8321496,never_treated,NA,0
AT,AUT,Austria,2009,15.5,34630,5.371,17.4,41.2,8343323,never_treated,NA,0
AT,AUT,Austria,2010,15.2,35170,4.883,17.6,41.6,8363404,never_treated,NA,0
BE,BEL,Belgium,1994,22.5,,9.645,15.6,37.0,10115603,never_treated,NA,0
BE,BEL,Belgium,1995,22.4,26270,9.337,15.8,37.3,10136811,never_treated,NA,0
BE,BEL,Belgium,1996,20.8,26560,9.483,16.0,37.6,10156637,never_treated,NA,0
BE,BEL,Belgium,1997,22.1,27500,8.95,16.3,37.9,10181245,never_treated,NA,0
BE,BEL,Belgium,1998,20.8,27980,9.322,16.5,38.2,10203008,never_treated,NA,0
BE,BEL,Belgium,1999,18.9,28910,8.649,16.6,38.5,10226419,never_treated,NA,0
BE,BEL,Belgium,2000,,29910,6.586,16.8,38.7,10251250,never_treated,NA,0
BE,BEL,Belgium,2001,,30130,6.178,16.9,39.0,10286570,never_treated,NA,0
BE,BEL,Belgium,2002,,30510,6.91,16.9,39.3,10332785,never_treated,NA,0
BE,BEL,Belgium,2003,20.7,30700,7.68,17.0,39.6,10376133,never_treated,NA,0
BE,BEL,Belgium,2004,19.4,31660,7.363,17.1,39.8,10421137,never_treated,NA,0
BE,BEL,Belgium,2005,19.8,32220,8.44,17.2,40.1,10478617,never_treated,NA,0
BE,BEL,Belgium,2006,18.6,32820,8.246,17.2,40.3,10547958,never_treated,NA,0
BE,BEL,Belgium,2007,17.8,33780,7.459,17.1,40.5,10625700,never_treated,NA,0
BE,BEL,Belgium,2008,18.9,33660,6.976,17.1,40.7,10709973,never_treated,NA,0
BE,BEL,Belgium,2009,18.9,32760,7.908,17.1,40.8,10796493,never_treated,NA,0
BE,BEL,Belgium,2010,18.7,33340,8.293,17.2,40.9,10895586,never_treated,NA,0
CH,CHE,Switzerland,1994,23.0,,3.58,14.6,37.0,6993795,never_treated,NA,0
CH,CHE,Switzerland,1995,21.7,48350,3.094,14.7,37.2,7040687,never_treated,NA,0
CH,CHE,Switzerland,1996,21.6,48400,3.684,14.8,37.4,7071850,never_treated,NA,0
CH,CHE,Switzerland,1997,20.2,49270,4.127,14.9,37.6,7088906,never_treated,NA,0
CH,CHE,Switzerland,1998,20.6,50470,3.568,15.0,37.9,7110001,never_treated,NA,0
CH,CHE,Switzerland,1999,19.3,51050,3.053,15.2,38.2,7143991,never_treated,NA,0
CH,CHE,Switzerland,2000,20.3,52630,2.658,15.3,38.5,7184250,never_treated,NA,0
CH,CHE,Switzerland,2001,19.6,53210,2.49,15.4,38.8,7229854,never_treated,NA,0
CH,CHE,Switzerland,2002,21.0,53030,2.924,15.6,39.1,7284753,never_treated,NA,0
CH,CHE,Switzerland,2003,18.3,52500,4.117,15.6,39.4,7339001,never_treated,NA,0
CH,CHE,Switzerland,2004,18.3,53500,4.316,15.7,39.8,7389625,never_treated,NA,0
CH,CHE,Switzerland,2005,18.2,54750,4.437,15.8,40.1,7437115,never_treated,NA,0
CH,CHE,Switzerland,2006,18.1,56660,3.995,16.0,40.4,7483934,never_treated,NA,0
CH,CHE,Switzerland,2007,18.7,58390,3.641,16.2,40.8,7551117,never_treated,NA,0
CH,CHE,Switzerland,2008,17.8,59170,3.35,16.4,41.0,7647675,never_treated,NA,0
CH,CHE,Switzerland,2009,14.4,57380,4.109,16.6,41.2,7743831,never_treated,NA,0
CH,CHE,Switzerland,2010,13.0,58790,4.808,16.8,41.5,7824909,never_treated,NA,0
CZ,CZE,Czechia,1994,21.1,,4.284,13.0,36.0,10333587,never_treated,NA,0
CZ,CZE,Czechia,1995,19.2,10460,4.082,13.1,36.2,10327253,never_treated,NA,0
CZ,CZE,Czechia,1996,17.3,10910,3.852,13.3,36.4,10315241,never_treated,NA,0
CZ,CZE,Czechia,1997,17.9,10860,4.674,13.5,36.6,10304131,never_treated,NA,0
CZ,CZE,Czechia,1998,17.2,10830,6.455,13.6,36.8,10294373,never_treated,NA,0
CZ,CZE,Czechia,1999,17.3,10990,8.702,13.7,37.1,10283860,never_treated,NA,0
CZ,CZE,Czechia,2000,17.4,11440,8.764,13.8,37.3,10255063,never_treated,NA,0
CZ,CZE,Czechia,2001,17.0,11830,8.128,13.8,37.6,10216605,never_treated,NA,0
CZ,CZE,Czechia,2002,16.1,12040,7.28,13.9,37.9,10196916,never_treated,NA,0
CZ,CZE,Czechia,2003,17.9,12430,7.777,13.9,38.3,10193998,never_treated,NA,0
CZ,CZE,Czechia,2004,16.1,13020,8.298,14.0,38.6,10197101,never_treated,NA,0
CZ,CZE,Czechia,2005,15.8,13810,7.927,14.1,38.8,10211216,never_treated,NA,0
CZ,CZE,Czechia,2006,14.0,14680,7.141,14.2,39.0,10238905,never_treated,NA,0
CZ,CZE,Czechia,2007,13.7,15400,5.316,14.5,39.2,10298828,never_treated,NA,0
CZ,CZE,Czechia,2008,13.6,15640,4.392,14.6,39.3,10384603,never_treated,NA,0
CZ,CZE,Czechia,2009,14.2,14800,6.662,14.9,39.4,10443936,never_treated,NA,0
CZ,CZE,Czechia,2010,14.5,15170,7.281,15.3,39.6,10474410,never_treated,NA,0
DE,DEU,Germany,1994,16.5,26350,8.727,15.2,38.0,81438348,never_treated,NA,0
DE,DEU,Germany,1995,16.7,26690,8.158,15.4,38.2,81678051,never_treated,NA,0
DE,DEU,Germany,1996,15.6,26910,8.822,15.6,38.5,81914831,never_treated,NA,0
