geo,iso3,country,year,suicide,gvar,status,source
AT,AUT,Austria,1986,32.7475,0,never_treated,who_spliced
AT,AUT,Austria,1987,30.7146,0,never_treated,who_spliced
AT,AUT,Austria,1988,27.4806,0,never_treated,who_spliced
AT,AUT,Austria,1989,27.8041,0,never_treated,who_spliced
AT,AUT,Austria,1990,26.174,0,never_treated,who_spliced
AT,AUT,Austria,1991,25.1243,0,never_treated,who_spliced
AT,AUT,Austria,1992,24.9917,0,never_treated,who_spliced
AT,AUT,Austria,1993,23.7756,0,never_treated,who_spliced
AT,AUT,Austria,1994,24.4,0,never_treated,eurostat
AT,AUT,Austria,1995,24.3,0,never_treated,eurostat
AT,AUT,Austria,1996,24.5,0,never_treated,eurostat
AT,AUT,Austria,1997,21.4,0,never_treated,eurostat
AT,AUT,Austria,1998,21.2,0,never_treated,eurostat
AT,AUT,Austria,1999,21.0,0,never_treated,eurostat
AT,AUT,Austria,2000,21.2,0,never_treated,eurostat
AT,AUT,Austria,2001,19.6,0,never_treated,eurostat
AT,AUT,Austria,2002,20.4,0,never_treated,eurostat
AT,AUT,Austria,2003,19.0,0,never_treated,eurostat
AT,AUT,Austria,2004,18.4,0,never_treated,eurostat
AT,AUT,Austria,2005,17.9,0,never_treated,eurostat
AT,AUT,Austria,2006,16.2,0,never_treated,eurostat
AT,AUT,Austria,2007,16.0,0,never_treated,eurostat
AT,AUT,Austria,2008,15.6,0,never_treated,eurostat
AT,AUT,Austria,2009,15.5,0,never_treated,eurostat
AT,AUT,Austria,2010,15.2,0,never_treated,eurostat
BE,BEL,Belgium,1986,23.0898,0,never_treated,who_spliced
BE,BEL,Belgium,1987,23.4414,0,never_treated,who_spliced
BE,BEL,Belgium,1988,20.8439,0,never_treated,who_spliced
BE,BEL,Belgium,1989,19.7835,0,never_treated,who_spliced
BE,BEL,Belgium,1990,19.436,0,never_treated,who_spliced
BE,BEL,Belgium,1991,18.4615,0,never_treated,who_spliced
BE,BEL,Belgium,1992,19.1567,0,never_treated,who_spliced
BE,BEL,Belgium,1993,22.1035,0,never_treated,who_spliced
BE,BEL,Belgium,1994,22.5,0,never_treated,eurostat
BE,BEL,Belgium,1995,22.4,0,never_treated,eurostat
BE,BEL,Belgium,1996,20.8,0,never_treated,eurostat
BE,BEL,Belgium,1997,22.1,0,never_treated,eurostat
BE,BEL,Belgium,1998,20.8,0,never_treated,eurostat
BE,BEL,Belgium,1999,18.9,0,never_treated,eurostat
BE,BEL,Belgium,2000,21.812,0,never_treated,who_filled
BE,BEL,Belgium,2001,21.7834,0,never_treated,who_filled
BE,BEL,Belgium,2002,20.7002,0,never_treated,who_filled
BE,BEL,Belgium,2003,20.7,0,never_treated,eurostat
BE,BEL,Belgium,2004,19.4,0,never_treated,eurostat
BE,BEL,Belgium,2005,19.8,0,never_treated,eurostat
BE,BEL,Belgium,2006,18.6,0,never_treated,eurostat
BE,BEL,Belgium,2007,17.8,0,never_treated,eurostat
BE,BEL,Belgium,2008,18.9,0,never_treated,eurostat
BE,BEL,Belgium,2009,18.9,0,never_treated,eurostat
BE,BEL,Belgium,2010,18.7,0,never_treated,eurostat
CH,CHE,Switzerland,1986,26.2839,0,never_treated,who_spliced
CH,CHE,Switzerland,1987,27.087,0,never_treated,who_spliced
CH,CHE,Switzerland,1988,25.3123,0,never_treated,who_spliced
CH,CHE,Switzerland,1989,25.7484,0,never_treated,who_spliced
CH,CHE,Switzerland,1990,24.3808,0,never_treated,who_spliced
CH,CHE,Switzerland,1991,25.1212,0,never_treated,who_spliced
CH,CHE,Switzerland,1992,23.2115,0,never_treated,who_spliced
CH,CHE,Switzerland,1993,22.7815,0,never_treated,who_spliced
CH,CHE,Switzerland,1994,23.0,0,never_treated,eurostat
CH,CHE,Switzerland,1995,21.7,0,never_treated,eurostat
CH,CHE,Switzerland,1996,21.6,0,never_treated,eurostat
CH,CHE,Switzerland,1997,20.2,0,never_treated,eurostat
CH,CHE,Switzerland,1998,20.6,0,never_treated,eurostat
CH,CHE,Switzerland,1999,19.3,0,never_treated,eurostat
CH,CHE,Switzerland,2000,20.3,0,never_treated,eurostat
CH,CHE,Switzerland,2001,19.6,0,never_treated,eurostat
CH,CHE,Switzerland,2002,21.0,0,never_treated,eurostat
CH,CHE,Switzerland,2003,18.3,0,never_treated,eurostat
CH,CHE,Switzerland,2004,18.3,0,never_treated,eurostat
CH,CHE,Switzerland,2005,18.2,0,never_treated,eurostat
CH,CHE,Switzerland,2006,18.1,0,never_treated,eurostat
CH,CHE,Switzerland,2007,18.7,0,never_treated,eurostat
CH,CHE,Switzerland,2008,17.8,0,never_treated,eurostat
CH,CHE,Switzerland,2009,14.4,0,never_treated,eurostat
CH,CHE,Switzerland,2010,13.0,0,never_treated,eurostat
CZ,CZE,Czechia,1986,23.9425,0,never_treated,who_spliced
CZ,CZE,Czechia,1987,21.3577,0,never_treated,who_spliced
CZ,CZE,Czechia,1988,21.6537,0,never_treated,who_spliced
CZ,CZE,Czechia,1989,20.9801,0,never_treated,who_spliced
CZ,CZE,Czechia,1990,21.7445,0,never_treated,who_spliced
CZ,CZE,Czechia,1991,21.0121,0,never_treated,who_spliced
CZ,CZE,Czechia,1992,21.7108,0,never_treated,who_spliced
CZ,CZE,Czechia,1993,20.9582,0,never_treated,who_spliced
CZ,CZE,Czechia,1994,21.1,0,never_treated,eurostat
CZ,CZE,Czechia,1995,19.2,0,never_treated,eurostat
CZ,CZE,Czechia,1996,17.3,0,never_treated,eurostat
CZ,CZE,Czechia,1997,17.9,0,never_treated,eurostat
CZ,CZE,Czechia,1998,17.2,0,never_treated,eurostat
CZ,CZE,Czechia,1999,17.3,0,never_treated,eurostat
CZ,CZE,Czechia,2000,17.4,0,never_treated,eurostat
CZ,CZE,Czechia,2001,17.0,0,never_treated,eurostat
CZ,CZE,Czechia,2002,16.1,0,never_treated,eurostat
CZ,CZE,Czechia,2003,17.9,0,never_treated,eurostat
CZ,CZE,Czechia,2004,16.1,0,never_treated,eurostat
CZ,CZE,Czechia,2005,15.8,0,never_treated,eurostat
CZ,CZE,Czechia,2006,14.0,0,never_treated,eurostat
CZ,CZE,Czechia,2007,13.7,0,never_treated,eurostat
CZ,CZE,Czechia,2008,13.6,0,never_treated,eurostat
CZ,CZE,Czechia,2009,14.2,0,never_treated,eurostat
CZ,CZE,Czechia,2010,14.5,0,never_treated,eurostat
EE,EST,Estonia,1986,31.2584,0,never_treated,who_spliced
EE,EST,Estonia,1987,28.7584,0,never_treated,who_spliced
EE,EST,Estonia,1988,27.8609,0,never_treated,who_spliced
EE,EST,Estonia,1989,29.8407,0,never_treated,who_spliced
EE,EST,Estonia,1990,30.9673,0,never_treated,who_spliced
EE,EST,Estonia,1991,30.2818,0,never_treated,who_spliced
EE,EST,Estonia,1992,36.3957,0,never_treated,who_spliced
EE,EST,Estonia,1993,43.2144,0,never_treated,who_spliced
EE,EST,Estonia,1994,45.7,0,never_treated,eurostat
EE,EST,Estonia,1995,45.0,0,never_treated,eurostat
EE,EST,Estonia,1996,43.6,0,never_treated,eurostat
EE,EST,Estonia,1997,40.6,0,never_treated,eurostat
EE,EST,Estonia,1998,37.1,0,never_treated,eurostat
EE,EST,Estonia,1999,36.6,0,never_treated,eurostat
EE,EST,Estonia,2000,28.7,0,never_treated,eurostat
EE,EST,Estonia,2001,31.1,0,never_treated,eurostat
EE,EST,Estonia,2002,28.4,0,never_treated,eurostat
EE,EST,Estonia,2003,26.1,0,never_treated,eurostat
EE,EST,Estonia,2004,24.8,0,never_treated,eurostat
EE,EST,Estonia,2005,20.8,0,never_treated,eurostat
EE,EST,Estonia,2006,18.6,0,never_treated,eurostat
EE,EST,Estonia,2007,19.5,0,never_treated,eurostat
EE,EST,Estonia,2008,18.1,0,never_treated,eurostat
EE,EST,Estonia,2009,20.6,0,never_treated,eurostat
EE,EST,Estonia,2010,16.8,0,never_treated,eurostat
EL,GRC,Greece,1986,4.2962,0,never_treated,who_spliced
