geo,country,year,gdp_pc_eur
AL,Albania,1995,700
AL,Albania,1996,810
AL,Albania,1997,640
AL,Albania,1998,750
AL,Albania,1999,1000
AL,Albania,2000,1260
AL,Albania,2001,1480
AL,Albania,2002,1570
AL,Albania,2003,1680
AL,Albania,2004,1970
AL,Albania,2005,2200
AL,Albania,2006,2440
AL,Albania,2007,2740
AL,Albania,2008,3070
AL,Albania,2009,3030
AL,Albania,2010,3130
AL,Albania,2011,3210
AL,Albania,2012,3290
AL,Albania,2013,3330
AL,Albania,2014,3470
AL,Albania,2015,3590
AL,Albania,2016,3770
AL,Albania,2017,4100
AL,Albania,2018,4540
AL,Albania,2019,4880
AL,Albania,2020,4710
AL,Albania,2021,5420
AL,Albania,2022,6500
AT,Austria,1995,23100
AT,Austria,1996,23360
AT,Austria,1997,23460
AT,Austria,1998,24310
AT,Austria,1999,25410
AT,Austria,2000,26510
AT,Austria,2001,27280
AT,Austria,2002,27850
AT,Austria,2003,28400
AT,Austria,2004,29440
AT,Austria,2005,30680
AT,Austria,2006,32160
AT,Austria,2007,34020
AT,Austria,2008,35070
AT,Austria,2009,34320
AT,Austria,2010,35170
AT,Austria,2011,36740
AT,Austria,2012,37570
AT,Austria,2013,37890
AT,Austria,2014,38640
AT,Austria,2015,39640
AT,Austria,2016,40690
AT,Austria,2017,41760
AT,Austria,2018,43360
AT,Austria,2019,44570
AT,Austria,2020,42650
AT,Austria,2021,45380
AT,Austria,2022,49640
AT,Austria,2023,52330
AT,Austria,2024,53830
AT,Austria,2025,55870
BA,Bosnia and Herzegovina,2010,3660
BA,Bosnia and Herzegovina,2011,3790
BA,Bosnia and Herzegovina,2012,3790
BA,Bosnia and Herzegovina,2013,3880
BA,Bosnia and Herzegovina,2014,3970
BA,Bosnia and Herzegovina,2015,4200
BA,Bosnia and Herzegovina,2016,4410
BA,Bosnia and Herzegovina,2017,4640
BA,Bosnia and Herzegovina,2018,4960
BA,Bosnia and Herzegovina,2019,5240
BA,Bosnia and Herzegovina,2020,5110
BA,Bosnia and Herzegovina,2021,5800
BA,Bosnia and Herzegovina,2022,6790
BA,Bosnia and Herzegovina,2023,7460
BA,Bosnia and Herzegovina,2024,8050
BE,Belgium,1995,21730
BE,Belgium,1996,21660
BE,Belgium,1997,21910
BE,Belgium,1998,22640
BE,Belgium,1999,23690
BE,Belgium,2000,25010
BE,Belgium,2001,25700
