geo,country,year,share_65plus
AD,Andorra,1986,8.0
AD,Andorra,1987,8.2
AD,Andorra,1988,8.7
AD,Andorra,1989,9.1
AD,Andorra,1990,9.7
AD,Andorra,1991,9.7
AD,Andorra,1992,9.4
AD,Andorra,1993,9.7
AD,Andorra,1994,10.0
AD,Andorra,1995,10.3
AD,Andorra,1996,10.8
AD,Andorra,1997,11.2
AD,Andorra,1998,11.5
AD,Andorra,1999,11.8
AD,Andorra,2000,12.1
AD,Andorra,2001,12.5
AD,Andorra,2002,13.0
AD,Andorra,2003,13.3
AD,Andorra,2004,12.6
AD,Andorra,2005,12.0
AD,Andorra,2006,11.8
AD,Andorra,2007,11.8
AD,Andorra,2008,12.0
AD,Andorra,2009,12.3
AD,Andorra,2010,12.9
AD,Andorra,2011,12.6
AD,Andorra,2012,12.6
AD,Andorra,2013,12.6
AD,Andorra,2019,13.6
AL,Albania,2002,7.8
AL,Albania,2003,8.1
AL,Albania,2004,8.4
AL,Albania,2005,8.7
AL,Albania,2006,9.2
AL,Albania,2007,9.5
AL,Albania,2008,10.0
AL,Albania,2009,10.4
AL,Albania,2010,10.7
AL,Albania,2011,11.0
AL,Albania,2012,11.3
AL,Albania,2013,11.6
AL,Albania,2014,12.0
AL,Albania,2015,12.4
AL,Albania,2016,12.8
AL,Albania,2017,13.1
AL,Albania,2018,13.6
AL,Albania,2019,14.1
AL,Albania,2020,14.8
AL,Albania,2021,15.2
AL,Albania,2022,15.7
AL,Albania,2023,16.5
AL,Albania,2025,21.2
AM,Armenia,2006,10.8
AM,Armenia,2007,10.8
AM,Armenia,2008,10.8
AM,Armenia,2009,10.4
AM,Armenia,2010,10.1
AM,Armenia,2015,10.7
AM,Armenia,2016,10.9
AM,Armenia,2017,11.2
AM,Armenia,2018,11.6
AM,Armenia,2019,11.9
AM,Armenia,2020,12.3
AM,Armenia,2021,12.6
AM,Armenia,2024,16.7
AT,Austria,1960,12.1
AT,Austria,1961,12.3
AT,Austria,1962,12.5
AT,Austria,1963,12.7
AT,Austria,1964,12.9
AT,Austria,1965,13.1
AT,Austria,1966,13.3
AT,Austria,1967,13.5
AT,Austria,1968,13.7
AT,Austria,1969,13.8
AT,Austria,1970,14.0
AT,Austria,1971,14.1
AT,Austria,1972,14.3
AT,Austria,1973,14.4
AT,Austria,1974,14.5
AT,Austria,1975,14.8
AT,Austria,1976,15.0
AT,Austria,1977,15.1
AT,Austria,1978,15.3
AT,Austria,1979,15.4
AT,Austria,1980,15.5
AT,Austria,1981,15.3
AT,Austria,1982,14.9
AT,Austria,1983,14.6
AT,Austria,1984,14.2
AT,Austria,1985,14.1
AT,Austria,1986,14.3
AT,Austria,1987,14.4
AT,Austria,1988,14.7
AT,Austria,1989,14.8
AT,Austria,1990,14.9
AT,Austria,1991,15.0
AT,Austria,1992,14.9
AT,Austria,1993,14.9
AT,Austria,1994,15.0
AT,Austria,1995,15.1
AT,Austria,1996,15.2
AT,Austria,1997,15.3
AT,Austria,1998,15.4
AT,Austria,1999,15.4
AT,Austria,2000,15.4
AT,Austria,2001,15.4
AT,Austria,2002,15.5
AT,Austria,2003,15.4
AT,Austria,2004,15.5
AT,Austria,2005,15.9
AT,Austria,2006,16.4
AT,Austria,2007,16.9
AT,Austria,2008,17.1
AT,Austria,2009,17.4
AT,Austria,2010,17.6
