geo,country,year,suicide_sdr
AL,Albania,2004,5.1
AT,Austria,1994,24.4
AT,Austria,1995,24.3
AT,Austria,1996,24.5
AT,Austria,1997,21.4
AT,Austria,1998,21.2
AT,Austria,1999,21.0
AT,Austria,2000,21.2
AT,Austria,2001,19.6
AT,Austria,2002,20.4
AT,Austria,2003,19.0
AT,Austria,2004,18.4
AT,Austria,2005,17.9
AT,Austria,2006,16.2
AT,Austria,2007,16.0
AT,Austria,2008,15.6
AT,Austria,2009,15.5
AT,Austria,2010,15.2
BE,Belgium,1994,22.5
BE,Belgium,1995,22.4
BE,Belgium,1996,20.8
BE,Belgium,1997,22.1
BE,Belgium,1998,20.8
BE,Belgium,1999,18.9
BE,Belgium,2003,20.7
BE,Belgium,2004,19.4
BE,Belgium,2005,19.8
BE,Belgium,2006,18.6
BE,Belgium,2007,17.8
BE,Belgium,2008,18.9
BE,Belgium,2009,18.9
BE,Belgium,2010,18.7
BG,Bulgaria,1995,19.9
BG,Bulgaria,1996,21.6
BG,Bulgaria,1997,20.7
BG,Bulgaria,1998,21.9
BG,Bulgaria,1999,18.5
BG,Bulgaria,2000,19.5
BG,Bulgaria,2001,18.1
BG,Bulgaria,2002,18.5
BG,Bulgaria,2003,15.4
BG,Bulgaria,2004,13.9
BG,Bulgaria,2005,13.5
BG,Bulgaria,2006,13.4
BG,Bulgaria,2007,12.3
BG,Bulgaria,2008,12.8
BG,Bulgaria,2009,11.8
BG,Bulgaria,2010,11.8
CH,Switzerland,1994,23.0
CH,Switzerland,1995,21.7
CH,Switzerland,1996,21.6
CH,Switzerland,1997,20.2
CH,Switzerland,1998,20.6
CH,Switzerland,1999,19.3
CH,Switzerland,2000,20.3
CH,Switzerland,2001,19.6
CH,Switzerland,2002,21.0
CH,Switzerland,2003,18.3
CH,Switzerland,2004,18.3
CH,Switzerland,2005,18.2
CH,Switzerland,2006,18.1
CH,Switzerland,2007,18.7
CH,Switzerland,2008,17.8
CH,Switzerland,2009,14.4
CH,Switzerland,2010,13.0
CY,Cyprus,2004,1.0
CY,Cyprus,2005,2.4
CY,Cyprus,2006,2.7
CY,Cyprus,2007,2.6
CY,Cyprus,2008,5.4
CY,Cyprus,2009,4.1
CY,Cyprus,2010,4.7
CZ,Czechia,1994,21.1
CZ,Czechia,1995,19.2
CZ,Czechia,1996,17.3
CZ,Czechia,1997,17.9
CZ,Czechia,1998,17.2
CZ,Czechia,1999,17.3
