geo,country,ever,pscore
AT,Austria,0,3.86630176722853e-10
CH,Switzerland,0,2.22044604925031e-16
CZ,Czechia,0,2.22044604925031e-16
DE,Germany,0,2.22044604925031e-16
EE,Estonia,0,2.22044604925031e-16
EL,Greece,0,2.22044604925031e-16
ES,Spain,0,1.69489578849635e-10
HU,Hungary,0,2.22044604925031e-16
IE,Ireland,1,0.999999999937984
LU,Luxembourg,0,2.22044604925031e-16
NL,Netherlands,0,2.22044604925031e-16
NO,Norway,1,1
PT,Portugal,0,2.22044604925031e-16
SE,Sweden,1,0.999999999999884
SI,Slovenia,0,2.22044604925031e-16
UK,United Kingdom,1,0.999999999578529
