unit,e,gap,ratio
AT,-11,-0.549769051271902,1.53095940205111
AT,-10,0.58524675770785,1.53095940205111
AT,-9,1.04141721597076,1.53095940205111
AT,-8,-0.624765232368389,1.53095940205111
AT,-7,-0.448085351889066,1.53095940205111
AT,-6,-0.242574703960109,1.53095940205111
AT,-5,0.594010072228837,1.53095940205111
AT,-4,-0.414110717915943,1.53095940205111
AT,-3,0.00812441752806592,1.53095940205111
AT,-2,0.114138582161491,1.53095940205111
AT,-1,-0.127778805085949,1.53095940205111
AT,0,0.357412971373464,1.53095940205111
AT,1,-0.567456222897889,1.53095940205111
AT,2,-1.20331824356891,1.53095940205111
AT,3,-1.15196676568461,1.53095940205111
AT,4,0.0866629178036273,1.53095940205111
AT,5,0.719358002583498,1.53095940205111
CH,-11,0.0100077181720835,511.088975572676
CH,-10,-0.00736967615298312,511.088975572676
CH,-9,0.0116627325124519,511.088975572676
CH,-8,-0.0119949575411091,511.088975572676
CH,-7,0.00441225113912225,511.088975572676
CH,-6,-0.0181460422063253,511.088975572676
CH,-5,-0.00297278911595456,511.088975572676
CH,-4,0.0265332953848869,511.088975572676
CH,-3,-0.0207139536591328,511.088975572676
CH,-2,-0.0194153612855033,511.088975572676
CH,-1,0.0282032797937717,511.088975572676
CH,0,-5.99928342284348,511.088975572676
CH,1,-6.54058838064822,511.088975572676
CH,2,1.75320954547166,511.088975572676
CH,3,-1.30540446465914,511.088975572676
CH,4,-7.15325771230344,511.088975572676
CH,5,-17.5099852536937,511.088975572676
CZ,-11,1.13566186519383,0.627455904644304
CZ,-10,0.250478918386914,0.627455904644304
CZ,-9,-1.41047399709306,0.627455904644304
CZ,-8,0.0709892068647982,0.627455904644304
CZ,-7,-0.293099477468001,0.627455904644304
CZ,-6,-0.235907711674219,0.627455904644304
CZ,-5,0.286539336780535,0.627455904644304
CZ,-4,0.325489078204196,0.627455904644304
CZ,-3,-0.916312229821497,0.627455904644304
CZ,-2,0.910312728379402,0.627455904644304
CZ,-1,-0.154642125836133,0.627455904644304
CZ,0,0.695350713662656,0.627455904644304
CZ,1,-0.445588922140892,0.627455904644304
CZ,2,-0.393082608476663,0.627455904644304
CZ,3,-0.460038525679623,0.627455904644304
