geo,country,year,pop_avg
AD,Andorra,1986,45785
AD,Andorra,1987,47714
AD,Andorra,1988,49490
AD,Andorra,1989,50708
AD,Andorra,1990,52697
AD,Andorra,1991,56778
AD,Andorra,1992,60324
AD,Andorra,1993,63413
AD,Andorra,1994,64769
AD,Andorra,1995,64085
AD,Andorra,1996,64169
AD,Andorra,1997,64893
AD,Andorra,1998,65592
AD,Andorra,1999,65924
AD,Andorra,2000,65908
AD,Andorra,2001,66089
AD,Andorra,2002,66747
AD,Andorra,2003,69740
AD,Andorra,2004,74598
AD,Andorra,2005,77712
AD,Andorra,2006,79886
AD,Andorra,2007,82180
AD,Andorra,2008,83811
AD,Andorra,2009,84283
AD,Andorra,2010,84549
AD,Andorra,2011,78115
AD,Andorra,2012,77181
AD,Andorra,2016,72419
AD,Andorra,2018,75486
AD,Andorra,2019,76860
AD,Andorra,2022,80562
AD,Andorra,2023,83345
AL,Albania,1960,1608800
AL,Albania,1961,1659800
AL,Albania,1962,1711319
AL,Albania,1963,1762621
AL,Albania,1964,1814135
AL,Albania,1965,1864791
AL,Albania,1966,1914573
AL,Albania,1967,1965598
AL,Albania,1968,2022272
AL,Albania,1969,2081695
AL,Albania,1970,2135479
AL,Albania,1971,2187853
AL,Albania,1972,2243126
AL,Albania,1973,2296752
AL,Albania,1974,2350124
AL,Albania,1975,2404831
AL,Albania,1976,2458526
AL,Albania,1977,2513546
AL,Albania,1978,2566266
AL,Albania,1979,2617832
AL,Albania,1980,2671997
AL,Albania,1981,2726056
AL,Albania,1982,2784278
AL,Albania,1983,2843960
AL,Albania,1984,2904429
AL,Albania,1985,2964762
AL,Albania,1986,3022635
AL,Albania,1987,3083605
AL,Albania,1988,3142336
AL,Albania,1989,3211964
AL,Albania,1990,3266790
AL,Albania,1991,3247039
AL,Albania,1992,3227287
AL,Albania,1993,3207536
AL,Albania,1994,3187784
AL,Albania,1995,3168033
AL,Albania,1996,3148281
AL,Albania,1997,3128530
AL,Albania,1998,3108778
AL,Albania,1999,3089027
AL,Albania,2000,3060173
AL,Albania,2001,3060169
AL,Albania,2002,3051006
AL,Albania,2003,3039612
AL,Albania,2004,3026933
AL,Albania,2005,3011482
AL,Albania,2006,2992542
AL,Albania,2007,2970011
AL,Albania,2008,2947311
AL,Albania,2009,2927515
AL,Albania,2010,2913018
AL,Albania,2011,2905185
AL,Albania,2012,2900389
AL,Albania,2013,2895082
AL,Albania,2014,2889095
AL,Albania,2015,2880694
AL,Albania,2016,2876092
AL,Albania,2017,2873458
AL,Albania,2018,2866376
AL,Albania,2019,2854191
AL,Albania,2020,2837848
AL,Albania,2021,2811667
AL,Albania,2022,2777689
AL,Albania,2023,2576364
AL,Albania,2024,2377128
AM,Armenia,1996,3247400
AM,Armenia,1997,3242100
AM,Armenia,1998,3235150
AM,Armenia,1999,3229500
AM,Armenia,2000,3221100
AM,Armenia,2001,3214100
AM,Armenia,2002,3211600
AM,Armenia,2003,3211250
AM,Armenia,2004,3214000
AM,Armenia,2005,3217517
AM,Armenia,2006,3221094
AM,Armenia,2007,3226520
AM,Armenia,2008,3234031
AM,Armenia,2009,3243729
AM,Armenia,2010,3256066
AM,Armenia,2011,3268468
AM,Armenia,2015,3004588
AM,Armenia,2016,2992364
AM,Armenia,2017,2979442
AM,Armenia,2018,2969001
AM,Armenia,2019,2962482
AM,Armenia,2020,2961473
AM,Armenia,2023,2984166
AM,Armenia,2024,3033727
AT,Austria,1960,7047539
AT,Austria,1961,7086299
AT,Austria,1962,7129864
AT,Austria,1963,7175811
AT,Austria,1964,7223801
AT,Austria,1965,7270889
AT,Austria,1966,7322066
AT,Austria,1967,7376998
AT,Austria,1968,7415403
AT,Austria,1969,7441055
AT,Austria,1970,7467086
AT,Austria,1971,7500482
AT,Austria,1972,7544201
AT,Austria,1973,7586115
AT,Austria,1974,7599038
AT,Austria,1975,7578903
AT,Austria,1976,7565525
AT,Austria,1977,7568430
AT,Austria,1978,7562305
AT,Austria,1979,7549425
AT,Austria,1980,7549433
AT,Austria,1981,7568710
AT,Austria,1982,7574140
AT,Austria,1983,7561910
AT,Austria,1984,7561434
AT,Austria,1985,7564985
AT,Austria,1986,7569794
AT,Austria,1987,7574586
AT,Austria,1988,7585317
AT,Austria,1989,7619567
AT,Austria,1990,7677850
AT,Austria,1991,7754891
AT,Austria,1992,7840709
AT,Austria,1993,7905633
AT,Austria,1994,7936118
AT,Austria,1995,7948278
AT,Austria,1996,7959017
AT,Austria,1997,7968041
AT,Austria,1998,7976789
