country,iso3,year,suicide_asdr_who,group
Austria,AUT,1955,20.603016,control
Austria,AUT,1956,19.932089,control
Austria,AUT,1957,20.960611,control
Austria,AUT,1958,20.795435,control
Austria,AUT,1959,21.821753,control
Austria,AUT,1960,20.193928,control
Austria,AUT,1961,19.2437,control
Austria,AUT,1962,19.715317,control
Austria,AUT,1963,19.326344,control
Austria,AUT,1964,19.995918,control
Austria,AUT,1965,20.162884,control
Austria,AUT,1966,20.400526,control
Austria,AUT,1967,19.640013,control
Austria,AUT,1968,19.635773,control
Austria,AUT,1969,20.015999,control
Austria,AUT,1970,21.9342,control
Austria,AUT,1971,20.312944,control
Austria,AUT,1972,20.876942,control
Austria,AUT,1973,19.628765,control
Austria,AUT,1974,21.156845,control
Austria,AUT,1975,21.480045,control
Austria,AUT,1976,20.115139,control
Austria,AUT,1977,21.481508,control
Austria,AUT,1978,22.219515,control
Austria,AUT,1979,22.318926,control
Austria,AUT,1980,22.572227,control
Austria,AUT,1981,23.46337,control
Austria,AUT,1982,24.131159,control
Austria,AUT,1983,23.320911,control
Austria,AUT,1984,23.095814,control
Austria,AUT,1985,23.788378,control
Austria,AUT,1986,24.369078,control
Austria,AUT,1987,22.856287,control
Austria,AUT,1988,20.449694,control
Austria,AUT,1989,20.690424,control
Austria,AUT,1990,19.477406,control
Austria,AUT,1991,18.696272,control
Austria,AUT,1992,18.597593,control
Austria,AUT,1993,17.692621,control
Austria,AUT,1994,18.55979,control
Austria,AUT,1995,18.49278,control
Austria,AUT,1996,17.963469,control
Austria,AUT,1997,16.358562,control
Austria,AUT,1998,15.931746,control
Austria,AUT,1999,15.686459,control
Austria,AUT,2000,15.881416,control
Austria,AUT,2001,14.763621,control
Austria,AUT,2002,15.160947,control
Austria,AUT,2003,14.074635,control
Austria,AUT,2004,13.657142,control
Austria,AUT,2005,13.1104,control
Austria,AUT,2006,11.94749,control
Austria,AUT,2007,11.829183,control
Austria,AUT,2008,11.175624,control
Austria,AUT,2009,11.382416,control
Austria,AUT,2010,11.361218,control
Austria,AUT,2011,11.358981,control
Austria,AUT,2012,10.881934,control
Austria,AUT,2013,10.681653,control
Austria,AUT,2014,11.207537,control
Austria,AUT,2015,10.238049,control
Austria,AUT,2016,9.7465,control
Austria,AUT,2017,9.675121,control
Austria,AUT,2018,9.439574,control
Austria,AUT,2019,8.614792,control
Austria,AUT,2020,8.044445,control
Austria,AUT,2021,8.218417,control
Austria,AUT,2022,9.442171,control
Austria,AUT,2023,9.884953,control
Belgium,BEL,1954,11.336916,control
Belgium,BEL,1955,10.97399,control
Belgium,BEL,1956,11.979401,control
Belgium,BEL,1957,11.964833,control
Belgium,BEL,1958,12.124204,control
Belgium,BEL,1959,10.799068,control
Belgium,BEL,1960,12.104049,control
Belgium,BEL,1961,12.214516,control
Belgium,BEL,1962,11.210599,control
Belgium,BEL,1963,11.667523,control
Belgium,BEL,1964,11.738506,control
Belgium,BEL,1965,12.730378,control
Belgium,BEL,1966,12.051699,control
Belgium,BEL,1967,12.596131,control
Belgium,BEL,1968,13.08375,control
Belgium,BEL,1969,12.588805,control
Belgium,BEL,1970,13.8067,control
Belgium,BEL,1971,12.983005,control
Belgium,BEL,1972,13.162646,control
Belgium,BEL,1973,12.450091,control
Belgium,BEL,1974,13.389622,control
Belgium,BEL,1975,13.642277,control
Belgium,BEL,1976,14.155125,control
Belgium,BEL,1977,16.379194,control
Belgium,BEL,1978,17.728079,control
Belgium,BEL,1979,18.262487,control
Belgium,BEL,1980,18.979311,control
Belgium,BEL,1981,18.751955,control
Belgium,BEL,1982,18.607632,control
Belgium,BEL,1983,19.625216,control
Belgium,BEL,1984,20.130777,control
Belgium,BEL,1985,19.402323,control
Belgium,BEL,1986,18.664354,control
Belgium,BEL,1987,18.948624,control
Belgium,BEL,1988,16.848942,control
Belgium,BEL,1989,15.991788,control
Belgium,BEL,1990,15.710905,control
Belgium,BEL,1991,14.923137,control
Belgium,BEL,1992,15.4851265,control
Belgium,BEL,1993,17.867111,control
Belgium,BEL,1994,17.698536,control
Belgium,BEL,1995,17.927969,control
Belgium,BEL,1996,16.79021,control
Belgium,BEL,1997,17.865381,control
Belgium,BEL,1998,16.636307,control
Belgium,BEL,1999,15.333691,control
Belgium,BEL,2000,17.631458,control
Belgium,BEL,2001,17.608404,control
Belgium,BEL,2002,16.73276,control
Belgium,BEL,2003,17.027647,control
Belgium,BEL,2004,15.953855,control
Belgium,BEL,2005,15.808666,control
Belgium,BEL,2006,15.211334,control
Belgium,BEL,2007,14.2477045,control
Belgium,BEL,2008,15.416194,control
Belgium,BEL,2009,15.344781,control
Belgium,BEL,2010,15.251662,control
Belgium,BEL,2011,15.4078045,control
Belgium,BEL,2012,14.811686,control
Belgium,BEL,2013,13.689557,control
Belgium,BEL,2014,13.530587,control
Belgium,BEL,2015,13.321423,control
Belgium,BEL,2016,13.396502,control
Belgium,BEL,2017,12.308604,control
Belgium,BEL,2018,12.45121,control
Belgium,BEL,2019,12.053349,control
Belgium,BEL,2020,11.945962,control
Belgium,BEL,2021,11.275168,control
Czechia,CZE,1986,18.343805,control
Czechia,CZE,1987,16.363466,control
Czechia,CZE,1988,16.590227,control
Czechia,CZE,1989,16.074121,control
Czechia,CZE,1990,16.659801,control
Czechia,CZE,1991,16.098646,control
Czechia,CZE,1992,16.634018,control
Czechia,CZE,1993,16.057346,control
Czechia,CZE,1994,15.42972,control
Czechia,CZE,1995,14.457916,control
Czechia,CZE,1996,12.87189,control
Czechia,CZE,1997,13.616697,control
Czechia,CZE,1998,13.163215,control
Czechia,CZE,1999,12.954324,control
Czechia,CZE,2000,13.303531,control
Czechia,CZE,2001,12.967447,control
Czechia,CZE,2002,12.259133,control
