method,e,att,se
Callaway-Sant'Anna,-8,-2.44947750309112,1.62857331595148
Callaway-Sant'Anna,-7,-1.26425280205735,1.41328102667249
Callaway-Sant'Anna,-6,-2.15821799738704,1.06186780331955
Callaway-Sant'Anna,-5,-1.10098666358961,0.946400284297711
Callaway-Sant'Anna,-4,-0.0466597899448167,0.705189388526074
Callaway-Sant'Anna,-3,-1.16660740750662,1.03966022141151
Callaway-Sant'Anna,-2,0.12406455750896,0.647175080528364
Callaway-Sant'Anna,-1,0,
Callaway-Sant'Anna,0,0.658315425572085,0.607008920067341
Callaway-Sant'Anna,1,0.505895497796476,0.352007052231149
Callaway-Sant'Anna,2,0.957800276002714,0.700294184963843
Callaway-Sant'Anna,3,2.4062761433672,0.690341721171173
Callaway-Sant'Anna,4,3.01631683686152,0.801063514540824
Callaway-Sant'Anna,5,2.45203928141589,0.937627223757016
Callaway-Sant'Anna,6,3.28172004745238,1.17678537917768
Callaway-Sant'Anna,7,2.56185328987332,1.36984051775072
Callaway-Sant'Anna,8,3.16551898412346,1.58280046724013
Borusyak et al.,-8,1.69184524726827,0.855697294387681
Borusyak et al.,-7,2.86638321867485,1.16330265053133
Borusyak et al.,-6,1.7258646321991,1.22991247096608
Borusyak et al.,-5,2.71356434973024,1.64968948280357
Borusyak et al.,-4,3.65596606581618,1.65731076131203
Borusyak et al.,-3,3.08036769786523,1.82679817305425
Borusyak et al.,-2,3.96026260054204,1.99360322377077
Borusyak et al.,-1,4.05745389137435,1.99788992714984
Borusyak et al.,0,1.41945796189101,0.568575198461648
Borusyak et al.,1,1.24069095149933,0.614749253617951
Borusyak et al.,2,1.69007925817999,0.841502207137569
Borusyak et al.,3,2.86780172696353,0.9955394717148
Borusyak et al.,4,3.55110938242001,1.04439437570278
Borusyak et al.,5,3.04109897989325,1.33132047916394
Borusyak et al.,6,3.37603862607448,1.25904189902864
Borusyak et al.,7,2.73411426711387,1.39573628541763
Borusyak et al.,8,3.24258212396896,1.5885890135786
Borusyak et al.,9,3.30887649786156,1.70616846922314
Borusyak et al.,10,4.70886876250177,1.88715399133855
Borusyak et al.,11,5.00346532299032,2.05961508505844
Borusyak et al.,12,4.15436865309219,2.06788547856006
Borusyak et al.,13,5.29137555416388,2.16410155376097
Borusyak et al.,14,6.10966019679637,1.97562430734181
Borusyak et al.,15,5.56936503870751,2.26820693363596
Sun-Abraham,-11,-4.44340908119592,2.50369354841464
Sun-Abraham,-10,-3.49455520872692,2.09705425940586
Sun-Abraham,-9,-3.91523088036166,2.02435640524693
Sun-Abraham,-8,-2.39646966627979,1.47447469509559
Sun-Abraham,-7,-1.17497453829515,1.25255185392545
Sun-Abraham,-6,-2.29588321048807,1.21579637095142
Sun-Abraham,-5,-1.30667144105733,0.816859098220552
Sun-Abraham,-4,-0.366001522029856,0.720888346918836
Sun-Abraham,-3,-0.979994648093562,0.484190511181204
Sun-Abraham,-2,-0.0883941868408483,0.455997620771857
Sun-Abraham,0,0.78853048304184,0.36112735114883
Sun-Abraham,1,0.62201110356381,0.416966824785085
Sun-Abraham,2,1.15745310219123,0.676548375090972
Sun-Abraham,3,2.39151905907569,0.852858528282805
Sun-Abraham,4,2.9658234803677,0.918223599774012
Sun-Abraham,5,2.50630588766703,1.27180955846024
Sun-Abraham,6,3.33836151133697,1.38342376530497
Sun-Abraham,7,2.56689462464486,1.55498347258519
Sun-Abraham,8,3.17001803008252,1.81661198317118
Sun-Abraham,9,3.79455425147781,2.15842280218639
Sun-Abraham,10,5.03333849220678,2.32188266279986
Sun-Abraham,11,5.34202092488499,2.53012137700265
Sun-Abraham,12,4.50298493808201,2.53559171729079
Sun-Abraham,13,5.63764724664359,2.66217026817885
Sun-Abraham,14,6.50808533477931,2.50200654937468
Sun-Abraham,15,6.0041450984439,2.86778742926507
